ESTABLISHMENT_ID,ESTABLISHMENT_NAME,LONG_ADDRESS,SHORT_ADDRESS,DISTRICT,CITY,POSTAL_CODE
10286265,TOPCLIFF STUDENT NUTRITION CENTRE,"65 TOPCLIFF AVE, NORTH YORK, ON M3N 1L6, CANADA",65 TOPCLIFF AVE,NORTH YORK,TORONTO,M3N 1L6
9016534,TOPCLIFF COMMUNITY CHILDCARE,"65 TOPCLIFF AVE, NORTH YORK, ON M3N 1L6, CANADA",65 TOPCLIFF AVE,NORTH YORK,TORONTO,M3N 1L6
10402747,TOPCLIFF SCHOOL BREAKFAST PROGRAM,"65 TOPCLIFF AVE, NORTH YORK, ON M3N 1L6, CANADA",65 TOPCLIFF AVE,NORTH YORK,TORONTO,M3N 1L6
9007590,JOHN G.  ALTHOUSE BEFORE & AFTER,"65 TROMLEY DR, ETOBICOKE, ON M9B 5Y7, CANADA",65 TROMLEY DR,ETOBICOKE,TORONTO,M9B 5Y7
9004135,DEMENZ,"65 UNDERWRITERS RD, SCARBOROUGH, ON M1R, CANADA",65 UNDERWRITERS RD,SCARBOROUGH,TORONTO,M1R
10265419,Z. VALTCHEVA,"65 WELLESLEY ST E, TORONTO, ON M4Y 2T6, CANADA",65 WELLESLEY ST E,METRO TORONTO,TORONTO,M4Y 2T6
10413942,SECOND CUP,"65 WELLESLEY ST E, TORONTO, ON M4Y 2T6, CANADA",65 WELLESLEY ST E,METRO TORONTO,TORONTO,M4Y 2T6
10234911,STARBUCKS COFFEE,"65 WICKSTEED AVE, EAST YORK, ON M4G 4H9, CANADA",65 WICKSTEED AVE,EAST YORK,TORONTO,M4G 4H9
10552205,SHAO GRILL,"650 COLLEGE ST, TORONTO, ON M6G 1B7, CANADA",650 COLLEGE ST,METRO TORONTO,TORONTO,M6G 1B7
9004817,EAST YORK COLLEGIATE,"650 COSBURN AVE, EAST YORK, ON M4C 2V2, CANADA",650 COSBURN AVE,EAST YORK,TORONTO,M4C 2V2
10568498,SKETCH CAFE,"650 DIXON RD, ETOBICOKE, ON M9W 1J1, CANADA",650 DIXON RD,ETOBICOKE,TORONTO,M9W 1J1
9016552,TORONTO CONGRESS CENTRE,"650 DIXON RD, ETOBICOKE, ON M9W 1J1, CANADA",650 DIXON RD,ETOBICOKE,TORONTO,M9W 1J1
9016551,TORONTO CONGRESS CENTRE,"650 DIXON RD, ETOBICOKE, ON M9W 1J1, CANADA",650 DIXON RD,ETOBICOKE,TORONTO,M9W 1J1
10228779,HANDI FOODS LTD.,"650 FENMAR DR, NORTH YORK, ON M9L 1X1, CANADA",650 FENMAR DR,NORTH YORK,TORONTO,M9L 1X1
10435152,BRIOCHE DOREE CAFE AND BAKERY,"650 KING ST W, TORONTO, ON M5V 0H6, CANADA",650 KING ST W,METRO TORONTO,TORONTO,M5V 0H6
10450097,THE EDWIN - WOODGREEN COMMUNITY SERVICES,"650 QUEEN ST E, TORONTO, ON M4M 1G5, CANADA",650 QUEEN ST E,METRO TORONTO,TORONTO,M4M 1G5
9006670,HARBOURFRONT CHILD CARE CENTRE,"650 QUEENS QUAY W, TORONTO, ON M5V 3N2, CANADA",650 QUEENS QUAY  W,METRO TORONTO,TORONTO,M5V 3N2
10325505,HARBOUR GREEN FARM,"650 QUEENS QUAY W, TORONTO, ON M5V 3N2, CANADA",650 QUEENS QUAY  W,METRO TORONTO,TORONTO,M5V 3N2
9014978,SUNRISE FOODS,"650 SHEPPARD AVE E, NORTH YORK, ON M2K 1B7, CANADA",650 SHEPPARD AVE W,NORTH YORK,TORONTO,M2K 1B7
10510166,PIG OUT BBQ,"650 SPADINA AVE, TORONTO, ON M5S 2H7, CANADA",650 SPADINA AVE,METRO TORONTO,TORONTO,M5S 2H7
10513164,RUYI GARDEN,"650 THE QUEENSWAY, ETOBICOKE, ON M8Y 1K7, CANADA",650 THE QUEENSWAY,ETOBICOKE,TORONTO,M8Y 1K7
10530962,SOI THAT STREET FOOD,"651 COLLEGE ST, TORONTO, ON M6G 1B7, CANADA",651 COLLEGE ST,METRO TORONTO,TORONTO,M6G 1B7
10553944,EAST CHINATOWN GIFTS,"651 GERRARD ST E, TORONTO, ON M4M 1Y2, CANADA",651 GERRARD ST E,METRO TORONTO,TORONTO,M4M 1Y2
10206784,CONVENIENCE.COM,"651 SPADINA AVE, TORONTO, ON M5S 2H6, CANADA",651 SPADINA AVE,METRO TORONTO,TORONTO,M5S 2H6
10196816,PANASONIC THEATRE BARS,"651 YONGE ST, TORONTO, ON M4Y 1Z9, CANADA",651 YONGE ST,METRO TORONTO,TORONTO,M4Y 1Z9
9063077,CAFE ON THE GO,"6516 YONGE ST, NORTH YORK, ON M2M 4J8, CANADA",6516 YONGE ST,NORTH YORK,TORONTO,M2M 4J8
9006263,GOLDEN WHEAT BAKERY & PASTRY,"652 COLLEGE ST, TORONTO, ON M6G 1B8, CANADA",652 COLLEGE ST,METRO TORONTO,TORONTO,M6G 1B8
9013797,KAGA,"652 FINCH AVE E, NORTH YORK, ON M2K 2E6, CANADA",652 FINCH AVE E,NORTH YORK,TORONTO,M2K 2E6
10423151,YOGURTY'S FROYO,"652 QUEEN ST W, TORONTO, ON M6J 1E5, CANADA",652 QUEEN ST W,METRO TORONTO,TORONTO,M6J 1E5
10527141,BURRO BURRITO,"653 COLLEGE ST, TORONTO, ON M6G 1B7, CANADA",653 COLLEGE ST,METRO TORONTO,TORONTO,M6G 1B7
10248464,STUBBE CHOCOLATES,"653 DUPONT ST, TORONTO, ON M6G 1Z4, CANADA",653 DUPONT ST,METRO TORONTO,TORONTO,M6G 1Z4
10569922,Exit Out Escape Warehouse,"653 MCCOWAN RD, SCARBOROUGH, ON M1J 1K2, CANADA",653 MCCOWAN RD,SCARBOROUGH,TORONTO,M1J 1K2
10359123,GREENVIEW MARKET,"653 ROYAL YORK RD, ETOBICOKE, ON M8Y 2T1, CANADA",653 ROYAL YORK RD,ETOBICOKE,TORONTO,M8Y 2T1
10489748,A & W,"654 DANFORTH AVE, TORONTO, ON M4J 1L1, CANADA",654 DANFORTH AVE,METRO TORONTO,TORONTO,M4J 1L1
10352700,PARIS BAKERY & PASTRY,"654 LANSDOWNE AVE, TORONTO, ON M6H 3Y8, CANADA",654 LANSDOWNE AVE,METRO TORONTO,TORONTO,M6H 3Y8
10570537,PAPA CEO FINE ITALIAN FOODS,"654 SPADINA AVE, TORONTO, ON M5S 2H7, CANADA",654 SPADINA AVE,METRO TORONTO,TORONTO,M5S 2H7
10521520,NATIVE CHILD AND FAMILY SERVICES OF TORONTO -NATIVE YOUTH RESOURCE CENTRE,"655 BLOOR ST W, TORONTO, ON M6G 1L1, CANADA",655 BLOOR ST W,METRO TORONTO,TORONTO,M6G 1L1
10571977,PIZZA PIZZA,"655 QUEEN ST W, TORONTO, ON M6J 1E6, CANADA",655 QUEEN ST W,METRO TORONTO,TORONTO,M6J 1E6
10365279,BULK MINE,"655 YONGE ST, TORONTO, ON M4Y 1Z9, CANADA",655 YONGE ST,METRO TORONTO,TORONTO,M4Y 1Z9
9006977,HODO KWAJA (WALNUT CAKE),"656 BLOOR ST W, TORONTO, ON M6G 1K9, CANADA",656 BLOOR ST W,METRO TORONTO,TORONTO,M6G 1K9
10365662,LILY RESTO-LOUNGE,"656 COLLEGE ST, TORONTO, ON M6G 1B8, CANADA",656 COLLEGE ST,METRO TORONTO,TORONTO,M6G 1B8
10328276,METRO,"656 EGLINTON AVE E, TORONTO, ON M4P 1P1, CANADA",656 EGLINTON AVE E,METRO TORONTO,TORONTO,M4P 1P1
10215785,THE FISH AND SANDWICH,"657 COLLEGE ST, TORONTO, ON M6G 1B7, CANADA",657 COLLEGE ST,METRO TORONTO,TORONTO,M6G 1B7
10389729,STARBUCKS COFFEE,"657 DUPONT ST, TORONTO, ON M6G 1Z4, CANADA",657 DUPONT ST,METRO TORONTO,TORONTO,M6G 1Z4
9001446,BEST DEALS,"657 MARKHAM RD, SCARBOROUGH, ON M1H 2A7, CANADA",657 MARKHAM RD,SCARBOROUGH,TORONTO,M1H 2A7
10566585,Best Convenience,"657 MCCOWAN RD, SCARBOROUGH, ON M1P, CANADA",657 MCCOWAN RD,SCARBOROUGH,TORONTO,M1P
10565075,TACORRITO,"657 QUEEN ST W, TORONTO, ON M6J 1E6, CANADA",657 QUEEN ST W,METRO TORONTO,TORONTO,M6J 1E6
9094864,THREE BROTHERS BAR & GRILL,"657 THE QUEENSWAY, ETOBICOKE, ON M8Y 1K8, CANADA",657 THE QUEENSWAY,ETOBICOKE,TORONTO,M8Y 1K8
9412913,TIM HORTONS #2707,"657 UNIVERSITY AVE, TORONTO, ON M5G 1X5, CANADA",657 UNIVERSITY AVE,METRO TORONTO,TORONTO,M5G 1X5
10524513,PANCHO'S BAKERY,"658 COLLEGE ST, TORONTO, ON M6G 1B8, CANADA",658 COLLEGE ST,METRO TORONTO,TORONTO,M6G 1B8
10501593,DOOROOAE,"659 BLOOR ST W, TORONTO, ON M6G 1L1, CANADA",659 BLOOR ST W,METRO TORONTO,TORONTO,M6G 1L1
10432984,THE LANSDOWNE CONE,"659 LANSDOWNE AVE, TORONTO, ON M6H 3Y2, CANADA",659 LANSDOWNE AVE,METRO TORONTO,TORONTO,M6H 3Y2
10300293,TIM HORTONS,"659 QUEEN ST W, TORONTO, ON M6J 1E6, CANADA",659 QUEEN ST W,METRO TORONTO,TORONTO,M6J 1E6
10283251,YWCA BERGAMOT EARLY LEARNING CENTRE,"66 BERGAMOT AVE, ETOBICOKE, ON M9W 1V9, CANADA",66 BERGAMOT AVE,ETOBICOKE,TORONTO,M9W 1V9
9004063,DEARHAM WOOD DAYCARE CENTRE,"66 DEARHAM WOOD, SCARBOROUGH, ON M1E 1S4, CANADA",66 DEARHAM WOOD,SCARBOROUGH,TORONTO,M1E 1S4
10556211,THE GATES,"66 GERRARD ST E, TORONTO, ON M5B 2M2, CANADA",66 GERRARD ST E,METRO TORONTO,TORONTO,M5B 2M2
10575260,THE ORIGINAL GYRO GRILL,"66 GERRARD ST E, TORONTO, ON M5B 2M2, CANADA",66 GERRARD ST E,METRO TORONTO,TORONTO,M5B 2M2
10374974,STARBUCKS COFFEE,"66 GERRARD ST E, TORONTO, ON M5B 2M2, CANADA",66 GERRARD ST E,METRO TORONTO,TORONTO,M5B 2M2
10550393,SECOND CUP,"66 HARBORD ST, TORONTO, ON M5S 1G2, CANADA",66 HARBORD ST,METRO TORONTO,TORONTO,M5S 1G2
10565954,PIZZAIOLO,"66 KINGSTON RD, TORONTO, ON M4L 1S4, CANADA",66 KINGSTON RD,METRO TORONTO,TORONTO,M4L 1S4
10560151,OM GRILLED CHEESE,"66 NASSAU ST, TORONTO, ON M5T 1M5, CANADA",66 NASSAU ST,METRO TORONTO,TORONTO,M5T 1M5
10224691,QUEEN'S PASTA,"66 NEWCASTLE ST, ETOBICOKE, ON M8Y 1A3, CANADA",66 NEWCASTLE ST,ETOBICOKE,TORONTO,M8Y 1A3
10498337,COMFORT INN,"66 NORFINCH DR, NORTH YORK, ON M3N 1X1, CANADA",66 NORFINCH DR,NORTH YORK,TORONTO,M3N 1X1
9003536,COPERNICUS LODGE,"66 RONCESVALLES AVE, TORONTO, ON M6R 3A8, CANADA",66 RONCESVALLES AVE,METRO TORONTO,TORONTO,M6R 3A8
10358994,REAL FRUIT BUBBLE TEA,"660 BLOOR ST W, TORONTO, ON M6G 1K9, CANADA",660 BLOOR ST W,METRO TORONTO,TORONTO,M6G 1K9
9029360,BELLA VISTA,"660 COLLEGE ST, TORONTO, ON M6G 1B8, CANADA",660 COLLEGE ST,METRO TORONTO,TORONTO,M6G 1B8
10285778,GHAZALE,"661 COLLEGE ST, TORONTO, ON M6G 1B7, CANADA",661 COLLEGE ST,METRO TORONTO,TORONTO,M6G 1B7
9014409,ST ANNE'S PLACE,"661 DUFFERIN ST, TORONTO, ON M6K 2B3, CANADA",661 DUFFERIN ST,METRO TORONTO,TORONTO,M6K 2B3
9008210,KENNEDY ROAD KIDDY KARE,"661 KENNEDY RD, SCARBOROUGH, ON M1K 2B8, CANADA",661 KENNEDY RD,SCARBOROUGH,TORONTO,M1K 2B8
10568609,STARBUCKS,"661 UNIVERSITY AVE, TORONTO, ON M5G 1M1, CANADA",661 UNIVERSITY AVE,METRO TORONTO,TORONTO,M5G 1M1
10572889,AROMA ESPRESSO BAR,"661 UNIVERSITY AVE, TORONTO, ON M5G 1M1, CANADA",661 UNIVERSITY AVE,METRO TORONTO,TORONTO,M5G 1M1
10360959,Y & L CONVENIENCE VARIETY,"662 ANNETTE ST, TORONTO, ON M6S 2C6, CANADA",662 ANNETTE ST,METRO TORONTO,TORONTO,M6S 2C6
9001638,BLOOR FRUIT MARKET,"662 BLOOR ST W, TORONTO, ON M6G 1K9, CANADA",662 BLOOR ST W,METRO TORONTO,TORONTO,M6G 1K9
